Date,Company,Symbol
2021-08-01,3i Group plc,III
2021-08-01,Abrdn,ABDN
2021-08-01,Admiral Group,ADML
2021-08-01,Anglo American plc,AAL
2021-08-01,Antofagasta,ANTO
2021-08-01,Ashtead Group,AHT
2021-08-01,Associated British Foods,ABF
2021-08-01,AstraZeneca,AZN
2021-08-01,Auto Trader Group,AUTOA
2021-08-01,Avast,AVST
2021-08-01,Aveva,AVV
2021-08-01,Aviva,AV
2021-08-01,B&M,BMEB
2021-08-01,BAE Systems,BAES
2021-08-01,Barclays,BARC
2021-08-01,Barratt Developments,BDEV
2021-08-01,Berkeley Group Holdings,BKGH
2021-08-01,BHP,BHPB
2021-08-01,BP,BP
2021-08-01,British American Tobacco,BATS
2021-08-01,British Land,BLND
2021-08-01,BT Group,BT
2021-08-01,Bunzl,BNZL
2021-08-01,Burberry,BRBY
2021-08-01,Coca-Cola HBC,CCH
2021-08-01,Compass Group,CPG
2021-08-01,CRH plc,CRH
2021-08-01,Croda International,CRDA
2021-08-01,DCC plc,DCC
2021-08-01,Diageo,DGE
2021-08-01,Entain,ENT
2021-08-01,Evraz,EVRE
2021-08-01,Experian,EXPN
2021-08-01,Ferguson plc,FERG
2021-08-01,Flutter Entertainment plc,FLTRF
2021-08-01,Fresnillo,FRES
2021-08-01,GlaxoSmithKline,GSK
2021-08-01,Glencore,GLEN
2021-08-01,Halma,HLMA
2021-08-01,Hargreaves Lansdown,HRGV
2021-08-01,Hikma Pharmaceuticals PLC,HIK
2021-08-01,HSBC Holdings PLC,HSBA
2021-08-01,InterContinental Hotels Group PLC,IHG
2021-08-01,Imperial Brands,IMB
2021-08-01,Informa,INF
2021-08-01,Intermediate Capital Group,ICP
2021-08-01,International Airlines Group,ICAG
2021-08-01,Intertek,ITRK
2021-08-01,ITV plc,ITV
2021-08-01,JD Sports,JD
2021-08-01,Johnson Matthey,JMAT
2021-08-01,Just Eat Takeaway,JETJ
2021-08-01,Kingfisher,KGF
2021-08-01,Land Securities,LAND
2021-08-01,Legal & General,LGEN
2021-08-01,Lloyds Banking Group,LLOY
2021-08-01,London Stock Exchange Group,LSEG
2021-08-01,M&G,EMG
2021-08-01,Melrose Industries,MRON
2021-08-01,Mondi,MNDI
2021-08-01,National Grid plc,NG
2021-08-01,NatWest Group,NWG
2021-08-01,Next plc,NXT
2021-08-01,Ocado Group,OCDO
2021-08-01,Pearson plc,PSON
2021-08-01,Pershing Square Holdings,PSHP
2021-08-01,Persimmon plc,PSN
2021-08-01,Phoenix Group,PHNX
2021-08-01,Polymetal International,POLYP
2021-08-01,Prudential plc,PRU
2021-08-01,Reckitt,RKT
2021-08-01,RELX,REL
2021-08-01,Rentokil Initial,RTO
2021-08-01,Rightmove,RMV
2021-08-01,Rio Tinto,RIO
2021-08-01,Rolls-Royce Holdings,RR
2021-08-01,Royal Dutch Shell,RDSa
2021-08-01,Royal Mail,RMG
2021-08-01,Sage Group,SGE
2021-08-01,Sainsbury,SBRY
2021-08-01,Schroders,SDR
