"","Date","Company"
"1",2021-08-01,"3i Group plc"
"2",2021-08-01,"Abrdn"
"3",2021-08-01,"Admiral Group"
"4",2021-08-01,"Anglo American plc"
"5",2021-08-01,"Antofagasta"
"6",2021-08-01,"Ashtead Group"
"7",2021-08-01,"Associated British Foods"
"8",2021-08-01,"AstraZeneca"
"9",2021-08-01,"Auto Trader Group"
"10",2021-08-01,"Avast"
"11",2021-08-01,"Aveva"
"12",2021-08-01,"Aviva"
"13",2021-08-01,"B&M"
"14",2021-08-01,"BAE Systems"
"15",2021-08-01,"Barclays"
"16",2021-08-01,"Barratt Developments"
"17",2021-08-01,"Berkeley Group Holdings"
"18",2021-08-01,"BHP"
"19",2021-08-01,"BP"
"20",2021-08-01,"British American Tobacco"
"21",2021-08-01,"British Land"
"22",2021-08-01,"BT Group"
"23",2021-08-01,"Bunzl"
"24",2021-08-01,"Burberry"
"25",2021-08-01,"Coca-Cola HBC"
"26",2021-08-01,"Compass Group"
"27",2021-08-01,"CRH plc"
"28",2021-08-01,"Croda International"
"29",2021-08-01,"DCC plc"
"30",2021-08-01,"Diageo"
"31",2021-08-01,"Entain"
"32",2021-08-01,"Evraz"
"33",2021-08-01,"Experian"
"34",2021-08-01,"Ferguson plc"
"35",2021-08-01,"Flutter Entertainment plc"
"36",2021-08-01,"Fresnillo"
"37",2021-08-01,"GlaxoSmithKline"
"38",2021-08-01,"Glencore"
"39",2021-08-01,"Halma"
"40",2021-08-01,"Hargreaves Lansdown"
"41",2021-08-01,"Hikma Pharmaceuticals"
"42",2021-08-01,"HSBC"
"43",2021-08-01,"IHG Hotels & Resorts"
"44",2021-08-01,"Imperial Brands"
"45",2021-08-01,"Informa"
"46",2021-08-01,"Intermediate Capital Group"
"47",2021-08-01,"International Airlines Group"
"48",2021-08-01,"Intertek"
"49",2021-08-01,"ITV plc"
"50",2021-08-01,"JD Sports"
"51",2021-08-01,"Johnson Matthey"
"52",2021-08-01,"Just Eat Takeaway"
"53",2021-08-01,"Kingfisher"
"54",2021-08-01,"Land Securities"
"55",2021-08-01,"Legal & General"
"56",2021-08-01,"Lloyds Banking Group"
"57",2021-08-01,"London Stock Exchange Group"
"58",2021-08-01,"M&G"
"59",2021-08-01,"Melrose Industries"
"60",2021-08-01,"Mondi"
"61",2021-08-01,"National Grid plc"
"62",2021-08-01,"NatWest Group"
"63",2021-08-01,"Next plc"
"64",2021-08-01,"Ocado Group"
"65",2021-08-01,"Pearson plc"
"66",2021-08-01,"Pershing Square Holdings"
"67",2021-08-01,"Persimmon plc"
"68",2021-08-01,"Phoenix Group"
"69",2021-08-01,"Polymetal International"
"70",2021-08-01,"Prudential plc"
"71",2021-08-01,"Reckitt"
"72",2021-08-01,"RELX"
"73",2021-08-01,"Rentokil Initial"
"74",2021-08-01,"Rightmove"
"75",2021-08-01,"Rio Tinto"
"76",2021-08-01,"Rolls-Royce Holdings"
"77",2021-08-01,"Royal Dutch Shell"
"78",2021-08-01,"Royal Mail"
"79",2021-08-01,"Sage Group"
"80",2021-08-01,"Sainsbury's"
"81",2021-08-01,"Schroders"
"82",2021-08-01,"Scottish Mortgage Investment Trust"
"83",2021-08-01,"Segro"
"84",2021-08-01,"Severn Trent"
"85",2021-08-01,"DS Smith plc"
"86",2021-08-01,"Smiths Group"
"87",2021-08-01,"Smith & Nephew"
"88",2021-08-01,"Smurfit Kappa Group plc"
"89",2021-08-01,"Spirax-Sarco Engineering"
"90",2021-08-01,"SSE plc"
"91",2021-08-01,"Standard Chartered"
"92",2021-08-01,"St. James's Place plc"
"93",2021-08-01,"Taylor Wimpey"
"94",2021-08-01,"Tesco"
"95",2021-08-01,"Unilever"
"96",2021-08-01,"United Utilities"
"97",2021-08-01,"Vodafone Group"
"98",2021-08-01,"Weir Group"
"99",2021-08-01,"Whitbread"
"100",2021-08-01,"WPP plc"
"101",2021-07-01,"3i Group plc"
"102",2021-07-01,"Abrdn"
"103",2021-07-01,"Admiral Group"
"104",2021-07-01,"Anglo American plc"
"105",2021-07-01,"Antofagasta"
"106",2021-07-01,"Ashtead Group"
"107",2021-07-01,"Associated British Foods"
"108",2021-07-01,"AstraZeneca"
"109",2021-07-01,"Auto Trader Group"
"110",2021-07-01,"Avast"
"111",2021-07-01,"Aveva"
"112",2021-07-01,"Aviva"
"113",2021-07-01,"B&M"
"114",2021-07-01,"BAE Systems"
"115",2021-07-01,"Barclays"
"116",2021-07-01,"Barratt Developments"
"117",2021-07-01,"Berkeley Group Holdings"
"118",2021-07-01,"BHP"
"119",2021-07-01,"BP"
"120",2021-07-01,"British American Tobacco"
"121",2021-07-01,"British Land"
"122",2021-07-01,"BT Group"
"123",2021-07-01,"Bunzl"
"124",2021-07-01,"Burberry"
"125",2021-07-01,"Coca-Cola HBC"
"126",2021-07-01,"Compass Group"
"127",2021-07-01,"CRH plc"
"128",2021-07-01,"Croda International"
"129",2021-07-01,"DCC plc"
"130",2021-07-01,"Diageo"
"131",2021-07-01,"Entain"
"132",2021-07-01,"Evraz"
"133",2021-07-01,"Experian"
"134",2021-07-01,"Ferguson plc"
"135",2021-07-01,"Flutter Entertainment plc"
"136",2021-07-01,"Fresnillo"
"137",2021-07-01,"GlaxoSmithKline"
"138",2021-07-01,"Glencore"
"139",2021-07-01,"Halma"
"140",2021-07-01,"Hargreaves Lansdown"
"141",2021-07-01,"Hikma Pharmaceuticals"
"142",2021-07-01,"HSBC"
"143",2021-07-01,"IHG Hotels & Resorts"
"144",2021-07-01,"Imperial Brands"
"145",2021-07-01,"Informa"
"146",2021-07-01,"Intermediate Capital Group"
"147",2021-07-01,"International Airlines Group"
"148",2021-07-01,"Intertek"
"149",2021-07-01,"ITV plc"
"150",2021-07-01,"JD Sports"
"151",2021-07-01,"Johnson Matthey"
"152",2021-07-01,"Just Eat Takeaway"
"153",2021-07-01,"Kingfisher"
"154",2021-07-01,"Land Securities"
"155",2021-07-01,"Legal & General"
"156",2021-07-01,"Lloyds Banking Group"
"157",2021-07-01,"London Stock Exchange Group"
"158",2021-07-01,"M&G"
"159",2021-07-01,"Melrose Industries"
"160",2021-07-01,"Mondi"
"161",2021-07-01,"National Grid plc"
"162",2021-07-01,"NatWest Group"
"163",2021-07-01,"Next plc"
"164",2021-07-01,"Ocado Group"
"165",2021-07-01,"Pearson plc"
"166",2021-07-01,"Pershing Square Holdings"
"167",2021-07-01,"Persimmon plc"
"168",2021-07-01,"Phoenix Group"
"169",2021-07-01,"Polymetal International"
"170",2021-07-01,"Prudential plc"
"171",2021-07-01,"Reckitt"
"172",2021-07-01,"RELX"
"173",2021-07-01,"Rentokil Initial"
"174",2021-07-01,"Rightmove"
"175",2021-07-01,"Rio Tinto"
"176",2021-07-01,"Rolls-Royce Holdings"
"177",2021-07-01,"Royal Dutch Shell"
"178",2021-07-01,"Royal Mail"
"179",2021-07-01,"Sage Group"
"180",2021-07-01,"Sainsbury's"
"181",2021-07-01,"Schroders"
"182",2021-07-01,"Scottish Mortgage Investment Trust"
"183",2021-07-01,"Segro"
"184",2021-07-01,"Severn Trent"
"185",2021-07-01,"DS Smith plc"
"186",2021-07-01,"Smiths Group"
"187",2021-07-01,"Smith & Nephew"
